"TABLE_NAME","COMMENTS"
"USER_CONS_COLUMNS","Information about accessible columns in constraint definitions"
"ALL_CONS_COLUMNS","Information about accessible columns in constraint definitions"
"USER_LOG_GROUP_COLUMNS","Information about columns in log group definitions"
"ALL_LOG_GROUP_COLUMNS","Information about columns in log group definitions"
"USER_LOBS","Description of the user's own LOBs contained in the user's own tables"
"ALL_LOBS","Description of LOBs contained in tables accessible to the user"
"USER_CATALOG","Tables, Views, Synonyms and Sequences owned by the user"
"ALL_CATALOG","All tables, views, synonyms, sequences accessible to the user"
"USER_CLUSTERS","Descriptions of user's own clusters"
"ALL_CLUSTERS","Description of clusters accessible to the user"
"USER_CLU_COLUMNS","Mapping of table columns to cluster columns"
"USER_COL_COMMENTS","Comments on columns of user's tables and views"
"ALL_COL_COMMENTS","Comments on columns of accessible tables and views"
"USER_COL_PRIVS","Grants on columns for which the user is the owner, grantor or grantee"
"ALL_COL_PRIVS","Grants on columns for which the user is the grantor, grantee, owner,
 or an enabled role or PUBLIC is the grantee"
"USER_COL_PRIVS_MADE","All grants on columns of objects owned by the user"
"ALL_COL_PRIVS_MADE","Grants on columns for which the user is owner or grantor"
"USER_COL_PRIVS_RECD","Grants on columns for which the user is the grantee"
"ALL_COL_PRIVS_RECD","Grants on columns for which the user, PUBLIC or enabled role is the grantee"
"ALL_ENCRYPTED_COLUMNS","Encryption information on all accessible columns"
"USER_ENCRYPTED_COLUMNS","Encryption information on columns of tables owned by the user"
"USER_INDEXES","Description of the user's own indexes"
"ALL_INDEXES","Descriptions of indexes on tables accessible to the user"
"USER_IND_COLUMNS","COLUMNs comprising user's INDEXes and INDEXes on user's TABLES"
"ALL_IND_COLUMNS","COLUMNs comprising INDEXes on accessible TABLES"
"USER_IND_EXPRESSIONS","Functional index expressions in user's indexes and indexes on user's tables"
"ALL_IND_EXPRESSIONS","FUNCTIONAL INDEX EXPRESSIONs on accessible TABLES"
"USER_JOIN_IND_COLUMNS","Join Index columns comprising the join conditions"
"ALL_JOIN_IND_COLUMNS","Join Index columns comprising the join conditions"
"USER_OBJECTS","Objects owned by the user"
"ALL_OBJECTS","Objects accessible to the user"
"USER_OBJECTS_AE","Objects owned by the user"
"ALL_OBJECTS_AE","Objects accessible to the user"
"USER_ROLE_PRIVS","Roles granted to current user"
"USER_SEQUENCES","Description of the user's own SEQUENCEs"
"ALL_SEQUENCES","Description of SEQUENCEs accessible to the user"
"USER_SYNONYMS","The user's private synonyms"
"ALL_SYNONYMS","All synonyms for base objects accessible to the user and session"
"USER_TABLES","Description of the user's own relational tables"
"USER_OBJECT_TABLES","Description of the user's own object tables"
"USER_ALL_TABLES","Description of all object and relational tables owned by the user's"
"ALL_TABLES","Description of relational tables accessible to the user"
"ALL_OBJECT_TABLES","Description of all object tables accessible to the user"
"ALL_ALL_TABLES","Description of all object and relational tables accessible to the user"
"USER_TAB_COLS","Columns of user's tables, views and clusters"
"ALL_TAB_COLS","Columns of user's tables, views and clusters"
"USER_TAB_COLUMNS","Columns of user's tables, views and clusters"
"ALL_TAB_COLUMNS","Columns of user's tables, views and clusters"
"USER_TAB_COMMENTS","Comments on the tables and views owned by the user"
"ALL_TAB_COMMENTS","Comments on tables and views accessible to the user"
"USER_TAB_PRIVS","Grants on objects for which the user is the owner, grantor or grantee"
"ALL_TAB_PRIVS","Grants on objects for which the user is the grantor, grantee, owner,
 or an enabled role or PUBLIC is the grantee"
"USER_TAB_PRIVS_MADE","All grants on objects owned by the user"
"ALL_TAB_PRIVS_MADE","User's grants and grants on user's objects"
"USER_TAB_PRIVS_RECD","Grants on objects for which the user is the grantee"
"ALL_TAB_PRIVS_RECD","Grants on objects for which the user, PUBLIC or enabled role is the grantee"
"USER_VIEWS","Description of the user's own views"
"ALL_VIEWS","Description of views accessible to the user"
"USER_VIEWS_AE","Description of the user's own views"
"ALL_VIEWS_AE","Description of views accessible to the user"
"USER_CONSTRAINTS","Constraint definitions on user's own tables"
"ALL_CONSTRAINTS","Constraint definitions on accessible tables"
"USER_LOG_GROUPS","Log group definitions on user's own tables"
"ALL_LOG_GROUPS","Log group definitions on accessible tables"
